Provinsi;2013;2014;2015;2017;2018
Aceh;1296896.47;1537566.92;1772078.64;2289262.03;2730050.53
Sumatera Utara;6379397.23;7579385.47;8936348.99;11185773.45;12141309.47
Sumatera Barat;1935667.72;2589540.23;2854086.69;3633623.44;3988123.03
Riau;2546059.64;3072379.33;3495405.62;4312515.62;5183967.51
Jambi;821545.99;1206426.15;1489754.03;1962096.33;1555543.81
Sumatera Selatan;2545154.23;4105996.86;4692377.58;5516429.54;6933839.52
Bengkulu;469808.97;698763.58;846495.47;1272786.39;1163906.03
Lampung;2288523.15;2771566.17;3204516.13;4309026.16;3820032.91
Bangka Belitung;497504.32;583771.03;660262.95;439253.83;454507.27
Kepulauan Riau;2667574.27;3371470.89;3714576.85;4458409.74;5604298.80
DKI Jakarta;37930700.83;46031402.09;51569060.63;42322339.88;36347537.44
Jawa Barat;33542989.95;39673306.46;44719705.45;51968218.98;63124350.57
Jawa Tengah;13690319.88;16321471.27;18695804.85;21888032.96;25059169.52
D.I Yogyakarta;1802390.20;2509866.65;2978870.68;3931177.92;3857207.55
Jawa Timur;22920215.61;27627824.55;30915417.26;36028518.41;39925582.91
Banten;7246732.69;8306246.02;9402212.69;24151645.07;23843678.26
Bali;3517109.79;4306181.04;4798824.47;5467308.98;7101556.94
Nusa Tenggara Barat;775020.09;945220.69;1087987.39;1369448.43;1876411.28
Nusa Tenggara Timur;507146.52;548870.43;520236.07;360571.81;481277.99
Kalimantan Barat;1457716.04;1530726.18;1734443.02;2229020.27;2889284.59
Kalimantan Tengah;652065.88;958930.82;1154093.31;1716934.87;2127666.39
Kalimantan Selatan;1357870.57;1562359.08;1663195.12;1877216.52;2388758.04
Kalimantan Timur;2311623.10;2423670.54;2757099.94;3514788.20;4914484.17
Kalimantan Utara;196938.81;290762.42;379751.89;359663.06;304667.15
Sulawesi Utara;970130.41;1298451.91;1449991.64;1697532.48;2025290.73
Sulawesi Tengah;536268.41;389402.63;452904.18;696108.22;1367154.09
Sulawesi Selatan;3545541.77;3977983.37;4428168.20;5729140.22;4924727.31
Sulawesi Tenggara;511128.23;724037.70;862542.95;1346472.41;1158389.26
Gorontalo;248894.04;353499.12;428216.54;612786.30;567470.46
Sulawesi Barat;165530.67;249593.94;306073.98;486731.33;436074.93
Maluku;359641.79;382231.11;423541.43;583754.58;709525.95
Maluku Utara;210786.84;331710.79;362764.68;411165.91;538864.96
Papua Barat;353296.32;617440.98;594681.66;424495.54;663421.33
Papua;556129.49;471426.68;508213.02;844617.93;1385847.30
